Source Text (English),Target Text (Filipino),"Final Score                          (1 - lowest, 5 - highest)",Rater 1 Explanation,Rater 2 Explanation,Contributor
Which of the following dental topics is developmentally appropriate for toddlers?,Alin sa mga sumusunod na paksa sa ngipin ang angkop sa pag-unlad para sa mga paslit?,2,"Most of the translation is actually quite spot-on, but trying to directly translate ""dental"" to ""ngipin"" completely changes the sentence's meaning","No direct translation for dental in tagalog, so translation tries to find a related word in ""ngipin"" which means teeth. A code-switched version like ""paksang dental"" would be better.",Enrique Lejano / Monica Manlises
,,,,,
The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,Ang Bloons ay bumalik at mas mahusay kaysa dati! Maghanda para sa isang napakalaking 3D tower defense na laro na idinisenyo upang bigyan ka ng mga oras at oras ng pinakamahusay na diskarte sa paglalaro na magagamit.,3,"""mga oras at oras ng pinakamahusay na diskarte sa paglalaro na magagamit"" is a too literal translation, some parts would be better removed for improved clarity and flow","lexical error, “mas mahusay kaysa dati"", literal translation of ""better than ever"", lacks enthusiasm or punch.",Aira Jin Garganera / Nigel Nograles
"Sea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, intense battles, vanquishing sea monsters and more. Dive in with this revised edition of the game, which includes access to digital bonus media.","Ang Sea of Thieves ay isang smash-hit na pirate adventure game, na nag-aalok ng quintessential na karanasan sa pirata ng pagnanakaw sa mga nawawalang kayamanan, matinding labanan, pagtalo sa mga halimaw sa dagat at higit pa. Sumisid sa binagong edisyon ng larong ito, na kinabibilangan ng access sa digital bonus media.",2,"unnatural phrasing; ""quintessential na karanasan sa pirata"" sound overly literal and not idiomatic in Filipino.","stiff or overly formal tone, ""binagong edisyon"" and ""kinabibilangan ng access sa digital bonus media"" feel too formal and literal",Aira Jin Garganera / Nigel Nograles
"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac's form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.","Ang The Binding of Isaac: Rebirth ay isang random na nabuong action RPG shooter na may mabibigat na elementong parang Rogue. Kasunod ni Isaac sa kanyang paglalakbay, ang mga manlalaro ay makakahanap ng mga kakaibang kayamanan na nagpabago sa anyo ni Isaac na nagbibigay sa kanya ng sobrang mga kakayahan ng tao at nagbibigay-daan sa kanya upang labanan ang napakaraming mga misteryosong nilalang, tumuklas ng mga lihim at labanan ang kanyang daan patungo sa kaligtasan.",2,"The translations are too literal; some of the terms could be preserved such as ""Rogue-like""; super human abilities was incorrectly translated to ""sobrang mga kakayahan ng tao"", instead of ""higit sa karaniwang kakayahan ng tao"", or just ""makapangyarihang kakayahan""","semantic errors and lexical errors, phrases like “labanan ang kanyang daan” and “random na nabuong” sound unnatural or awkward.",Aira Jin Garganera / Nigel Nograles
"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","Maligayang pagdating sa isang bagong mundo! Sa Monster Hunter: World, ang pinakabagong installment sa serye, masisiyahan ka sa pinakahuling karanasan sa pangangaso, gamit ang lahat ng iyong makakaya upang manghuli ng mga halimaw sa isang bagong mundo na puno ng mga sorpresa at kaguluhan.",4,"""installment"" could be replaced with an apt filipino word (e.g., parte, bahagi, kabanata)",semantic error “Kaguluhan” (for “excitement”),Aira Jin Garganera / Nigel Nograles
,,,,,
"For so long, you and me been finding each other for so long.","Matagal na, matagal na tayong dalawa naghahanap sa isa't isa.",2,translates you and me into tayo and the translation of finding is awkward,"You and me' was translated as 'tayo', which might not be the best fit, and the word 'finding' sounds a bit off in the translation.",Ryan Carandang/Riley Veracruz
I can't stop smiling when you're there,Hindi ko mapigilang ngumiti tuwing andiyan ka,5,translation is accurate while sounding natural,The translation is correct and still sounds smooth and natural.,Ryan Carandang/Riley Veracruz
I just want to be your everything.,Nais ko lang ay maging lahat para sa’yo,3,fairly accurate translation but structure of sentence is quite different from english meaning,"the meaning is mostly right, but the way the sentence is put together is quite different from the English version.",Ryan Carandang/Riley Veracruz
"If I give you all my life, would you still be mine?","Kung ibibigay ko sa’yo ang buong buhay ko, akin ka pa rin ba?",4,"""sa akin"" would be the most proper translation but the overall translation is quite accurate","Sa akin' might be a better choice, but overall the translation still gets the meaning across well.",Ryan Carandang/Riley Veracruz
,,,,,
A stack overflow happens when there is too much memory used on the call stack.,Nangyayari ang stack overflow kapag labis ang paggamit ng memorya sa call stack.,4,"gramatically correct and serves the original meaning well, using ""labis"" makes it feel more formal compared to alternatives (eg, ""sobrang"" in this context)",	Too literal; lacks clarification of technical terms.,Camron Ong / Arvin Tan
The database index speeds up data retrieval by reducing the number of disk accesses.,Pinapabilis ng database index ang pagkuha ng data sa pamamagitan ng pagbawas sa pag-access sa disk.,3,"the phrase ""pagkuha ng data"" could be rewritten to ""pagkuha ng impormasyon"", and the overall phrasing is awkward",	Awkward phrasing; “pag-access sa disk” sounds unnatural.,Camron Ong / Arvin Tan
The kernel handles low-level operations in the operating system.,Pinangangasiwaan ng kernel ang mga low-level na operasyon sa operating system.,2,"A lot of English terms are retained, which is somewhat acceptable in tech-related Filipino, but results in many borrowed terms. ""low-level"" could probably be translated though.",	Poor localization; relies too much on untranslated English.,Camron Ong / Arvin Tan
The address bus carries memory addresses to the CPU.,Dinadala ng address bus ang mga memory address papunta sa CPU.,3,"straightforward and generally accurate, tech-based Filipino terms/translations could be argued (eg, ""memory address"" as ""address ng memorya"")",Word-for-word; no effort to adapt terms.,Camron Ong / Arvin Tan
Jollibee is a famous fast food restaurant in the Philippines.,Ang Jollibee ay isang sikat na kainan sa Pilipinas.,4,Better to phrase it as “Ang Jollibee ay isa sa mga sikat na kainan sa Pilipinas”,"- accurate translation
- good grammar",Joaquin de Guzman
Filipinos visit their relatives during holidays.,"Tuwing bakasyon, binibisita ng mga Pilipino ang kani-kanilang mga pamilya",3,"Better to use and phrase it as “Tuwing bakasyon, binibisita ng mga Filipino ang kani-kanilang mga mahal sa buhay.” Filipino not Pilipino, and also best to use mahal sa buhay for a more deeper and authentic translation rather than using the direct translation of family (pamilya).","- accurate translation
- good grammar",Joaquin de Guzman
"Filipinos often use the expression ""po"" and ""opo"" as a sign of respect to elders.",Ginagamit ng mga Pilipino ang mga salitang “po” at “opo” bilang paggalang sa mga nakakatanda. ,4,Filipino not Pilipino. Change and take note of this.,"- accurate translation
- good grammar",Joaquin de Guzman
"Adobo is one of the most popular dishes in the Philippines, made with soy sauce, vinegar, and garlic.","Ang Adobo ay isa sa mga pinakasikat na ulam sa Pilipinas at ito ay gawa sa toyo, suka, at bawang. ",5,Perfect translation.,"- not sure if “sa” in “gawa sa” is the right word?? but if it’s conversational it’s fine
- kung formal i’d probably say “gawa gamit ang”",Joaquin de Guzman
The hospitability of Filipinos are known worldwide,Ang pagiging hospitable ng mga Pilipino ay kilala sa buong mundo,4,kilala could be replaced with alam which would make it sound more natural.,kilala could be replace with sikat,Charlyne Arajoy Carabeo/Geena Tibule
We love to celebrate fiestas and gatherings with family and friends,Mahal natin ang pagdidiwang ng piyesta and salo-salo kasama ang pamilya at mga kaibigan,3,"doesnt sound natural, could be better with Mahilig tayo magdiwang ng piyesta at salo-salo kasama ng ating pamilya at mga kaibigan",salo-salo could be replaced with pagtitipon for accurate translation,Charlyne Arajoy Carabeo/Geena Tibule
Adobo and sinigang are just some of the delicious Filipino dishes that are truly craved.,Ang adobo at sinigang ay ilan lamang sa masasarap na pagkaing Pilipino na talaga naman hinahanap-hanap,5,"sounds natural, - is used properly for repeating worlds like hinahanap-hanap",accurate translation,Charlyne Arajoy Carabeo/Geena Tibule
Eating rice with almost every meal is part of out culture,Bahagi ng ating kultura ang pagkain ng kanin sa halos bawat pagkain,3,doesnt sound natural and can be ambiguous.,gramatically correct but doesn't sound natural,Charlyne Arajoy Carabeo/Geena Tibule
,,,,,
"The nurse inserted the IV incorrectly, causing bruising.","Ang nurse ay pinasok ang IV ng mali, kaya nagka-pasa.",2,translation feels too direct and it ended up having awkward phrasing,Direct translation. There could've been a better term.,Darryl Ty/Rafael Yap
The patient was given penicillin to prevent infection.,Ang pasyente ay binigyan ng penicillin upang maiwasan ang impeksyon.,5,"its clear, fluent, formal, and natural, it conveys the clinical intent without making the translation sound forced","Correct translation, and it is not awkward to read as it can be comprehended easily.",Darryl Ty/Rafael Yap
"To be able to start fasting, you have to stop eating and drinking anything except water at least 8 hours before your test.","Para makapagsimula ng fasting, tigilan ang pagkain at pag-inom 8 oras bago ang test, tubig lang pwede.",3,"""tigilan"" is awkward in the context making the phrasing weird and casual, and ""pwede"" makes the instruction sound optional when it should be strict. ","The whole sentence sounds awkward, and the number 8 could've been translated into its word form.",Darryl Ty/Rafael Yap
"After being checked up, you have to be admitted to the hospital for observation and treatment.","Pagkatapos ng check-up, kailangang ma-admit ka sa ospital para ma-obserbahan at gamutan.",3,"translation became to literal, ""ma-admit"", ""ma-oberserbahan"", and ""check-up"" are mixed Fil-Eng and sound awkward in formal medical writing.","The sentence is a bit awkward, especially some parts of the sentence were not translated properly into its corresponding translation (code switching). ",Darryl Ty/Rafael Yap
,,,,,
I always make it a priority to set aside time for my hobbies.,Lagi ko sinisigurado na maglaan ng oras para sa aking mga libangan.,4,translation overall has the same meaning but uses different words like sinisigurado,"translation of sentence is ""I ensure..."" rather than ""I always prioritize...""",Sherwynn Angeles/Gregory Tiong
One of the purposes of life is to help others without expecting anything in return.,Isa sa layunin ng buhay ay ang tumulong sa kapwa nang walang kapalit,5,translation is natural and meaning is well conveyed,correct and natural sounding translation,Sherwynn Angeles/Gregory Tiong
I exclusively use Spotify to listen to music such as OPM.,Sa Spotify lang ako nakikinig ng music katulad ng OPM.,4,decent translation but awkward wording,awkard phrasing,Sherwynn Angeles/Gregory Tiong
I have a large collection of non-fiction books that's always well-organized and clean.,Meron akong koleksyon ng mga non-fiction na libro na palagi ko sinisigurado na organisado at malinis.,3,translation is understandable but phrasing and wording can be improved on,"did not translate ""large"" and awkward translation of ""well-organized""",Sherwynn Angeles/Gregory Tiong
,,,,,
Taking crazy things seriously is a serious waste of time.,Ang pagseseryoso ng mga bagay na baliw ay isang seryosong pag-aaksaya ng oras.,5,"Captures tone and meaning well, using native-sounding phrasing without sounding forced or literal.",It uses words that flow naturally and matches the tone accurately. ,Lia Guillermo/Lester Anthony Sityar
"Things outside you are projections of what’s inside you, and what’s inside you is a projection of what’s outside.","Ang mga bagay sa labas mo ay salamin ng nasa loob mo, at ang nasa loob mo ay salamin ng nasa labas.",3,"Accurate and clear, though some of the poetic impact is slightly reduced.",The translation replaces a complex phrase with a simpler metaphor.,Lia Guillermo/Lester Anthony Sityar
"Some men are born mediocre, some men achieve mediocrity, and some men have mediocrity thrust upon them.","May ilang lalaking ipinanganak na katamtaman, may ilang nakakamit ang pagiging karaniwan, at may ilan na ipinipilit na lamang sa kanila ang pagiging ganoon.",4,"It mimics the original text's rhythm until the last part, where it reads too literal.","Preserves the structure and meaning well, though katamtaman and ganoon are odd word choices.",Lia Guillermo/Lester Anthony Sityar
Mother died today. Or maybe yesterday; I can't be sure.,Sumakabilang-buhay si Inay ngayong araw. O baka kahapon; medyo nalilito na ako.,2,The tone in the translated text feels too colloquial.,Doesn't feel natural. Too literal.,Lia Guillermo/Lester Anthony Sityar
"The wave returns to the ocean, where it came from, and where it's supposed to be.","Bumabalik ang alon sa karagatan, kung saan ito nanggaling, at kung saan ito dapat nasa.",2,The wording feels awkward and unnatural.,"Extremely unnatural wording, especially on ""kung saan ito dapat nasa."" Despite that, it still conveys the rough meaning of the original text.",Lanz Lim / Tyler Tan
Sick of tea?! That's like being sick of breathing!,Ayaw mo na ng tsaa?! Parang sinabi mo na ring sawa ka nang huminga!,5,Wording is natural and uses appropriate that properly conveys the emotion in the sentence.,Exceptionally natural translation. Even conveying the emotional surprise and colloquial tone of the original text.,Lanz Lim / Tyler Tan
"I wanted to invite my youngest to go get some ice cream, if he’ll let me.","Gusto ko imbitahin yung pinakabata kong anak para kumuha ng ice cream, kung papayagan niya ako.",3,"Not the best translation while its mostly correct its not natural, for more casual contexts yayain is more commonly used, additionally youngest child has a word in tagalog called ""bunso"" that would be more appropriate here.","Although the meaning of the original sentence is there, the delivery is very stinted, especially on its word usage (pinakabata and imbitahin).",Lanz Lim / Tyler Tan
"That person has no more respect or love for you, leave them.","Wala nang respeto at pagmamahal yung tao para sa'yo, iwan mo na.",5,The sentence flows very well and uses more informal words used in conversation like sa'yo.,"Sounds very natural, capturing the sentiment carried by the original sentence.",Lanz Lim / Tyler Tan
